Route_ID,Origin,Destination,,Distance,Shift,Demand,Travel_Time,Bus_Type,Bus_Capacity
2,Stop_17,Stop_14,"Stop_17, Stop_15, Stop_28, Stop_21, Stop_22, Stop_14",18,Evening Off-Peak,39,28.2,II,90
3,Stop_14,Stop_14,"Stop_14, Stop_6, Stop_15, Stop_8, Stop_18, Stop_20, Stop_21, Stop_9, Stop_14",16,Morning Peak,35,26.66,I,60
3,Stop_14,Stop_14,"Stop_14, Stop_6, Stop_15, Stop_8, Stop_18, Stop_20, Stop_21, Stop_9, Stop_14",16,Morning Peak,56,26.66,II,90
3,Stop_14,Stop_14,"Stop_14, Stop_6, Stop_15, Stop_8, Stop_18, Stop_20, Stop_21, Stop_9, Stop_14",16,Morning Off-Peak,25,26.66,I,60
3,Stop_14,Stop_14,"Stop_14, Stop_6, Stop_15, Stop_8, Stop_18, Stop_20, Stop_21, Stop_9, Stop_14",16,Morning Off-Peak,52,26.66,II,90
3,Stop_14,Stop_14,"Stop_14, Stop_6, Stop_15, Stop_8, Stop_18, Stop_20, Stop_21, Stop_9, Stop_14",16,Evening Peak,35,26.66,I,60
3,Stop_14,Stop_14,"Stop_14, Stop_6, Stop_15, Stop_8, Stop_18, Stop_20, Stop_21, Stop_9, Stop_14",16,Evening Peak,59,26.66,II,90
3,Stop_14,Stop_14,"Stop_14, Stop_6, Stop_15, Stop_8, Stop_18, Stop_20, Stop_21, Stop_9, Stop_14",16,Evening Off-Peak,38,26.66,I,60
3,Stop_14,Stop_14,"Stop_14, Stop_6, Stop_15, Stop_8, Stop_18, Stop_20, Stop_21, Stop_9, Stop_14",16,Evening Off-Peak,43,26.66,II,90
4,Stop_14,Stop_23,"Stop_14, Stop_34, Stop_38, Stop_13, Stop_28, Stop_31, Stop_27, Stop_30, Stop_21, Stop_4, Stop_23",9,Morning Peak,20,18.54,I,60
4,Stop_14,Stop_23,"Stop_14, Stop_34, Stop_38, Stop_13, Stop_28, Stop_31, Stop_27, Stop_30, Stop_21, Stop_4, Stop_23",9,Morning Peak,31,18.54,II,90
4,Stop_14,Stop_23,"Stop_14, Stop_34, Stop_38, Stop_13, Stop_28, Stop_31, Stop_27, Stop_30, Stop_21, Stop_4, Stop_23",9,Morning Off-Peak,24,18.54,I,60
4,Stop_14,Stop_23,"Stop_14, Stop_34, Stop_38, Stop_13, Stop_28, Stop_31, Stop_27, Stop_30, Stop_21, Stop_4, Stop_23",9,Morning Off-Peak,58,18.54,II,90
4,Stop_14,Stop_23,"Stop_14, Stop_34, Stop_38, Stop_13, Stop_28, Stop_31, Stop_27, Stop_30, Stop_21, Stop_4, Stop_23",9,Evening Peak,37,18.54,I,60
4,Stop_14,Stop_23,"Stop_14, Stop_34, Stop_38, Stop_13, Stop_28, Stop_31, Stop_27, Stop_30, Stop_21, Stop_4, Stop_23",9,Evening Peak,41,18.54,II,90
4,Stop_14,Stop_23,"Stop_14, Stop_34, Stop_38, Stop_13, Stop_28, Stop_31, Stop_27, Stop_30, Stop_21, Stop_4, Stop_23",9,Evening Off-Peak,34,18.54,I,60
4,Stop_14,Stop_23,"Stop_14, Stop_34, Stop_38, Stop_13, Stop_28, Stop_31, Stop_27, Stop_30, Stop_21, Stop_4, Stop_23",9,Evening Off-Peak,50,18.54,II,90
5,Stop_23,Stop_22,"Stop_23, Stop_17, Stop_34, Stop_28, Stop_11, Stop_18, Stop_23, Stop_33, Stop_30, Stop_21, Stop_26, Stop_35, Stop_22, Stop_22",9,Morning Peak,34,20.76,I,60
5,Stop_23,Stop_22,"Stop_23, Stop_17, Stop_34, Stop_28, Stop_11, Stop_18, Stop_23, Stop_33, Stop_30, Stop_21, Stop_26, Stop_35, Stop_22, Stop_22",9,Morning Peak,49,20.76,II,90
5,Stop_23,Stop_22,"Stop_23, Stop_17, Stop_34, Stop_28, Stop_11, Stop_18, Stop_23, Stop_33, Stop_30, Stop_21, Stop_26, Stop_35, Stop_22, Stop_22",9,Morning Off-Peak,21,20.76,I,60
5,Stop_23,Stop_22,"Stop_23, Stop_17, Stop_34, Stop_28, Stop_11, Stop_18, Stop_23, Stop_33, Stop_30, Stop_21, Stop_26, Stop_35, Stop_22, Stop_22",9,Morning Off-Peak,57,20.76,II,90
5,Stop_23,Stop_22,"Stop_23, Stop_17, Stop_34, Stop_28, Stop_11, Stop_18, Stop_23, Stop_33, Stop_30, Stop_21, Stop_26, Stop_35, Stop_22, Stop_22",9,Evening Peak,28,20.76,I,60
5,Stop_23,Stop_22,"Stop_23, Stop_17, Stop_34, Stop_28, Stop_11, Stop_18, Stop_23, Stop_33, Stop_30, Stop_21, Stop_26, Stop_35, Stop_22, Stop_22",9,Evening Peak,37,20.76,II,90
5,Stop_23,Stop_22,"Stop_23, Stop_17, Stop_34, Stop_28, Stop_11, Stop_18, Stop_23, Stop_33, Stop_30, Stop_21, Stop_26, Stop_35, Stop_22, Stop_22",9,Evening Off-Peak,22,20.76,I,60
5,Stop_23,Stop_22,"Stop_23, Stop_17, Stop_34, Stop_28, Stop_11, Stop_18, Stop_23, Stop_33, Stop_30, Stop_21, Stop_26, Stop_35, Stop_22, Stop_22",9,Evening Off-Peak,44,20.76,II,90
6,Stop_22,Stop_31,"Stop_22, Stop_17, Stop_14, Stop_36, Stop_12, Stop_39, Stop_31",13,Morning Peak,32,29.75,I,60
6,Stop_22,Stop_31,"Stop_22, Stop_17, Stop_14, Stop_36, Stop_12, Stop_39, Stop_31",13,Morning Peak,30,29.75,II,90
6,Stop_22,Stop_31,"Stop_22, Stop_17, Stop_14, Stop_36, Stop_12, Stop_39, Stop_31",13,Morning Off-Peak,21,29.75,I,60
6,Stop_22,Stop_31,"Stop_22, Stop_17, Stop_14, Stop_36, Stop_12, Stop_39, Stop_31",13,Morning Off-Peak,33,29.75,II,90
6,Stop_22,Stop_31,"Stop_22, Stop_17, Stop_14, Stop_36, Stop_12, Stop_39, Stop_31",13,Evening Peak,22,29.75,I,60
6,Stop_22,Stop_31,"Stop_22, Stop_17, Stop_14, Stop_36, Stop_12, Stop_39, Stop_31",13,Evening Peak,43,29.75,II,90
6,Stop_22,Stop_31,"Stop_22, Stop_17, Stop_14, Stop_36, Stop_12, Stop_39, Stop_31",13,Evening Off-Peak,27,29.75,I,60
6,Stop_22,Stop_31,"Stop_22, Stop_17, Stop_14, Stop_36, Stop_12, Stop_39, Stop_31",13,Evening Off-Peak,52,29.75,II,90
7,Stop_31,Stop_29,"Stop_31, Stop_19, Stop_28, Stop_20, Stop_3, Stop_9, Stop_29",17,Morning Peak,28,26.5,I,60
7,Stop_31,Stop_29,"Stop_31, Stop_19, Stop_28, Stop_20, Stop_3, Stop_9, Stop_29",17,Morning Peak,54,26.5,II,90
7,Stop_31,Stop_29,"Stop_31, Stop_19, Stop_28, Stop_20, Stop_3, Stop_9, Stop_29",17,Morning Off-Peak,39,26.5,I,60
7,Stop_31,Stop_29,"Stop_31, Stop_19, Stop_28, Stop_20, Stop_3, Stop_9, Stop_29",17,Morning Off-Peak,50,26.5,II,90
7,Stop_31,Stop_29,"Stop_31, Stop_19, Stop_28, Stop_20, Stop_3, Stop_9, Stop_29",17,Evening Peak,36,26.5,I,60
7,Stop_31,Stop_29,"Stop_31, Stop_19, Stop_28, Stop_20, Stop_3, Stop_9, Stop_29",17,Evening Peak,30,26.5,II,90
7,Stop_31,Stop_29,"Stop_31, Stop_19, Stop_28, Stop_20, Stop_3, Stop_9, Stop_29",17,Evening Off-Peak,30,26.5,I,60
7,Stop_31,Stop_29,"Stop_31, Stop_19, Stop_28, Stop_20, Stop_3, Stop_9, Stop_29",17,Evening Off-Peak,56,26.5,II,90
8,Stop_29,Stop_14,"Stop_29, Stop_29, Stop_16, Stop_28, Stop_8, Stop_2, Stop_11, Stop_12, Stop_30, Stop_21, Stop_4, Stop_35, Stop_22, Stop_14",9,Morning Peak,24,15.77,I,60
8,Stop_29,Stop_14,"Stop_29, Stop_29, Stop_16, Stop_28, Stop_8, Stop_2, Stop_11, Stop_12, Stop_30, Stop_21, Stop_4, Stop_35, Stop_22, Stop_14",9,Morning Peak,50,15.77,II,90
8,Stop_29,Stop_14,"Stop_29, Stop_29, Stop_16, Stop_28, Stop_8, Stop_2, Stop_11, Stop_12, Stop_30, Stop_21, Stop_4, Stop_35, Stop_22, Stop_14",9,Morning Off-Peak,28,15.77,I,60
8,Stop_29,Stop_14,"Stop_29, Stop_29, Stop_16, Stop_28, Stop_8, Stop_2, Stop_11, Stop_12, Stop_30, Stop_21, Stop_4, Stop_35, Stop_22, Stop_14",9,Morning Off-Peak,31,15.77,II,90
8,Stop_29,Stop_14,"Stop_29, Stop_29, Stop_16, Stop_28, Stop_8, Stop_2, Stop_11, Stop_12, Stop_30, Stop_21, Stop_4, Stop_35, Stop_22, Stop_14",9,Evening Peak,34,15.77,I,60
8,Stop_29,Stop_14,"Stop_29, Stop_29, Stop_16, Stop_28, Stop_8, Stop_2, Stop_11, Stop_12, Stop_30, Stop_21, Stop_4, Stop_35, Stop_22, Stop_14",9,Evening Peak,43,15.77,II,90
8,Stop_29,Stop_14,"Stop_29, Stop_29, Stop_16, Stop_28, Stop_8, Stop_2, Stop_11, Stop_12, Stop_30, Stop_21, Stop_4, Stop_35, Stop_22, Stop_14",9,Evening Off-Peak,38,15.77,I,60
8,Stop_29,Stop_14,"Stop_29, Stop_29, Stop_16, Stop_28, Stop_8, Stop_2, Stop_11, Stop_12, Stop_30, Stop_21, Stop_4, Stop_35, Stop_22, Stop_14",9,Evening Off-Peak,51,15.77,II,90
9,Stop_14,Stop_30,"Stop_14, Stop_29, Stop_28, Stop_2, Stop_7, Stop_12, Stop_4, Stop_3, Stop_22, Stop_30",28,Morning Peak,28,25.82,I,60
9,Stop_14,Stop_30,"Stop_14, Stop_29, Stop_28, Stop_2, Stop_7, Stop_12, Stop_4, Stop_3, Stop_22, Stop_30",28,Morning Peak,35,25.82,II,90
9,Stop_14,Stop_30,"Stop_14, Stop_29, Stop_28, Stop_2, Stop_7, Stop_12, Stop_4, Stop_3, Stop_22, Stop_30",28,Morning Off-Peak,37,25.82,I,60
9,Stop_14,Stop_30,"Stop_14, Stop_29, Stop_28, Stop_2, Stop_7, Stop_12, Stop_4, Stop_3, Stop_22, Stop_30",28,Morning Off-Peak,35,25.82,II,90
9,Stop_14,Stop_30,"Stop_14, Stop_29, Stop_28, Stop_2, Stop_7, Stop_12, Stop_4, Stop_3, Stop_22, Stop_30",28,Evening Peak,38,25.82,I,60
9,Stop_14,Stop_30,"Stop_14, Stop_29, Stop_28, Stop_2, Stop_7, Stop_12, Stop_4, Stop_3, Stop_22, Stop_30",28,Evening Peak,54,25.82,II,90
9,Stop_14,Stop_30,"Stop_14, Stop_29, Stop_28, Stop_2, Stop_7, Stop_12, Stop_4, Stop_3, Stop_22, Stop_30",28,Evening Off-Peak,22,25.82,I,60
9,Stop_14,Stop_30,"Stop_14, Stop_29, Stop_28, Stop_2, Stop_7, Stop_12, Stop_4, Stop_3, Stop_22, Stop_30",28,Evening Off-Peak,42,25.82,II,90
10,Stop_30,Stop_23,"Stop_30, Stop_24, Stop_8, Stop_33, Stop_20, Stop_26, Stop_21, Stop_39, Stop_9, Stop_23",9,Morning Peak,36,16.06,I,60
10,Stop_30,Stop_23,"Stop_30, Stop_24, Stop_8, Stop_33, Stop_20, Stop_26, Stop_21, Stop_39, Stop_9, Stop_23",9,Morning Peak,36,16.06,II,90
10,Stop_30,Stop_23,"Stop_30, Stop_24, Stop_8, Stop_33, Stop_20, Stop_26, Stop_21, Stop_39, Stop_9, Stop_23",9,Morning Off-Peak,32,16.06,I,60
10,Stop_30,Stop_23,"Stop_30, Stop_24, Stop_8, Stop_33, Stop_20, Stop_26, Stop_21, Stop_39, Stop_9, Stop_23",9,Morning Off-Peak,60,16.06,II,90
10,Stop_30,Stop_23,"Stop_30, Stop_24, Stop_8, Stop_33, Stop_20, Stop_26, Stop_21, Stop_39, Stop_9, Stop_23",9,Evening Peak,32,16.06,I,60
10,Stop_30,Stop_23,"Stop_30, Stop_24, Stop_8, Stop_33, Stop_20, Stop_26, Stop_21, Stop_39, Stop_9, Stop_23",9,Evening Peak,48,16.06,II,90
10,Stop_30,Stop_23,"Stop_30, Stop_24, Stop_8, Stop_33, Stop_20, Stop_26, Stop_21, Stop_39, Stop_9, Stop_23",9,Evening Off-Peak,32,16.06,I,60
10,Stop_30,Stop_23,"Stop_30, Stop_24, Stop_8, Stop_33, Stop_20, Stop_26, Stop_21, Stop_39, Stop_9, Stop_23",9,Evening Off-Peak,30,16.06,II,90
11,Stop_23,Stop_38,"Stop_23, Stop_8, Stop_5, Stop_18, Stop_2, Stop_23, Stop_25, Stop_20, Stop_27, Stop_30, Stop_4, Stop_38",5,Morning Peak,37,19.78,I,60
11,Stop_23,Stop_38,"Stop_23, Stop_8, Stop_5, Stop_18, Stop_2, Stop_23, Stop_25, Stop_20, Stop_27, Stop_30, Stop_4, Stop_38",5,Morning Peak,57,19.78,II,90
11,Stop_23,Stop_38,"Stop_23, Stop_8, Stop_5, Stop_18, Stop_2, Stop_23, Stop_25, Stop_20, Stop_27, Stop_30, Stop_4, Stop_38",5,Morning Off-Peak,31,19.78,I,60
11,Stop_23,Stop_38,"Stop_23, Stop_8, Stop_5, Stop_18, Stop_2, Stop_23, Stop_25, Stop_20, Stop_27, Stop_30, Stop_4, Stop_38",5,Morning Off-Peak,38,19.78,II,90
11,Stop_23,Stop_38,"Stop_23, Stop_8, Stop_5, Stop_18, Stop_2, Stop_23, Stop_25, Stop_20, Stop_27, Stop_30, Stop_4, Stop_38",5,Evening Peak,28,19.78,I,60
11,Stop_23,Stop_38,"Stop_23, Stop_8, Stop_5, Stop_18, Stop_2, Stop_23, Stop_25, Stop_20, Stop_27, Stop_30, Stop_4, Stop_38",5,Evening Peak,60,19.78,II,90
11,Stop_23,Stop_38,"Stop_23, Stop_8, Stop_5, Stop_18, Stop_2, Stop_23, Stop_25, Stop_20, Stop_27, Stop_30, Stop_4, Stop_38",5,Evening Off-Peak,37,19.78,I,60
11,Stop_23,Stop_38,"Stop_23, Stop_8, Stop_5, Stop_18, Stop_2, Stop_23, Stop_25, Stop_20, Stop_27, Stop_30, Stop_4, Stop_38",5,Evening Off-Peak,54,19.78,II,90
12,Stop_38,Stop_30,"Stop_38, Stop_29, Stop_16, Stop_38, Stop_2, Stop_27, Stop_30, Stop_3, Stop_30",21,Morning Peak,31,26.09,I,60
12,Stop_38,Stop_30,"Stop_38, Stop_29, Stop_16, Stop_38, Stop_2, Stop_27, Stop_30, Stop_3, Stop_30",21,Morning Peak,52,26.09,II,90
12,Stop_38,Stop_30,"Stop_38, Stop_29, Stop_16, Stop_38, Stop_2, Stop_27, Stop_30, Stop_3, Stop_30",21,Morning Off-Peak,24,26.09,I,60
12,Stop_38,Stop_30,"Stop_38, Stop_29, Stop_16, Stop_38, Stop_2, Stop_27, Stop_30, Stop_3, Stop_30",21,Morning Off-Peak,54,26.09,II,90
12,Stop_38,Stop_30,"Stop_38, Stop_29, Stop_16, Stop_38, Stop_2, Stop_27, Stop_30, Stop_3, Stop_30",21,Evening Peak,25,26.09,I,60
12,Stop_38,Stop_30,"Stop_38, Stop_29, Stop_16, Stop_38, Stop_2, Stop_27, Stop_30, Stop_3, Stop_30",21,Evening Peak,60,26.09,II,90
12,Stop_38,Stop_30,"Stop_38, Stop_29, Stop_16, Stop_38, Stop_2, Stop_27, Stop_30, Stop_3, Stop_30",21,Evening Off-Peak,32,26.09,I,60
12,Stop_38,Stop_30,"Stop_38, Stop_29, Stop_16, Stop_38, Stop_2, Stop_27, Stop_30, Stop_3, Stop_30",21,Evening Off-Peak,35,26.09,II,90
13,Stop_30,Stop_22,"Stop_30, Stop_32, Stop_3, Stop_28, Stop_22",16,Morning Peak,27,28.67,I,60
13,Stop_30,Stop_22,"Stop_30, Stop_32, Stop_3, Stop_28, Stop_22",16,Morning Peak,55,28.67,II,90
13,Stop_30,Stop_22,"Stop_30, Stop_32, Stop_3, Stop_28, Stop_22",16,Morning Off-Peak,23,28.67,I,60
13,Stop_30,Stop_22,"Stop_30, Stop_32, Stop_3, Stop_28, Stop_22",16,Morning Off-Peak,36,28.67,II,90
13,Stop_30,Stop_22,"Stop_30, Stop_32, Stop_3, Stop_28, Stop_22",16,Evening Peak,24,28.67,I,60
13,Stop_30,Stop_22,"Stop_30, Stop_32, Stop_3, Stop_28, Stop_22",16,Evening Peak,53,28.67,II,90
13,Stop_30,Stop_22,"Stop_30, Stop_32, Stop_3, Stop_28, Stop_22",16,Evening Off-Peak,39,28.67,I,60
13,Stop_30,Stop_22,"Stop_30, Stop_32, Stop_3, Stop_28, Stop_22",16,Evening Off-Peak,57,28.67,II,90
14,Stop_22,Stop_21,"Stop_22, Stop_34, Stop_1, Stop_38, Stop_24, Stop_8, Stop_5, Stop_11, Stop_31, Stop_12, Stop_30, Stop_4, Stop_21",7,Morning Peak,23,17.25,I,60
14,Stop_22,Stop_21,"Stop_22, Stop_34, Stop_1, Stop_38, Stop_24, Stop_8, Stop_5, Stop_11, Stop_31, Stop_12, Stop_30, Stop_4, Stop_21",7,Morning Peak,51,17.25,II,90
14,Stop_22,Stop_21,"Stop_22, Stop_34, Stop_1, Stop_38, Stop_24, Stop_8, Stop_5, Stop_11, Stop_31, Stop_12, Stop_30, Stop_4, Stop_21",7,Morning Off-Peak,29,17.25,I,60
14,Stop_22,Stop_21,"Stop_22, Stop_34, Stop_1, Stop_38, Stop_24, Stop_8, Stop_5, Stop_11, Stop_31, Stop_12, Stop_30, Stop_4, Stop_21",7,Morning Off-Peak,56,17.25,II,90
14,Stop_22,Stop_21,"Stop_22, Stop_34, Stop_1, Stop_38, Stop_24, Stop_8, Stop_5, Stop_11, Stop_31, Stop_12, Stop_30, Stop_4, Stop_21",7,Evening Peak,29,17.25,I,60
14,Stop_22,Stop_21,"Stop_22, Stop_34, Stop_1, Stop_38, Stop_24, Stop_8, Stop_5, Stop_11, Stop_31, Stop_12, Stop_30, Stop_4, Stop_21",7,Evening Peak,34,17.25,II,90
14,Stop_22,Stop_21,"Stop_22, Stop_34, Stop_1, Stop_38, Stop_24, Stop_8, Stop_5, Stop_11, Stop_31, Stop_12, Stop_30, Stop_4, Stop_21",7,Evening Off-Peak,22,17.25,I,60
14,Stop_22,Stop_21,"Stop_22, Stop_34, Stop_1, Stop_38, Stop_24, Stop_8, Stop_5, Stop_11, Stop_31, Stop_12, Stop_30, Stop_4, Stop_21",7,Evening Off-Peak,47,17.25,II,90
15,Stop_21,Stop_39,"Stop_21, Stop_17, Stop_34, Stop_13, Stop_5, Stop_23, Stop_37, Stop_4, Stop_32, Stop_3, Stop_22, Stop_39",17,Morning Peak,36,28.81,I,60
15,Stop_21,Stop_39,"Stop_21, Stop_17, Stop_34, Stop_13, Stop_5, Stop_23, Stop_37, Stop_4, Stop_32, Stop_3, Stop_22, Stop_39",17,Morning Peak,41,28.81,II,90
15,Stop_21,Stop_39,"Stop_21, Stop_17, Stop_34, Stop_13, Stop_5, Stop_23, Stop_37, Stop_4, Stop_32, Stop_3, Stop_22, Stop_39",17,Morning Off-Peak,26,28.81,I,60
15,Stop_21,Stop_39,"Stop_21, Stop_17, Stop_34, Stop_13, Stop_5, Stop_23, Stop_37, Stop_4, Stop_32, Stop_3, Stop_22, Stop_39",17,Morning Off-Peak,57,28.81,II,90
15,Stop_21,Stop_39,"Stop_21, Stop_17, Stop_34, Stop_13, Stop_5, Stop_23, Stop_37, Stop_4, Stop_32, Stop_3, Stop_22, Stop_39",17,Evening Peak,22,28.81,I,60
15,Stop_21,Stop_39,"Stop_21, Stop_17, Stop_34, Stop_13, Stop_5, Stop_23, Stop_37, Stop_4, Stop_32, Stop_3, Stop_22, Stop_39",17,Evening Peak,60,28.81,II,90
15,Stop_21,Stop_39,"Stop_21, Stop_17, Stop_34, Stop_13, Stop_5, Stop_23, Stop_37, Stop_4, Stop_32, Stop_3, Stop_22, Stop_39",17,Evening Off-Peak,36,28.81,I,60
15,Stop_21,Stop_39,"Stop_21, Stop_17, Stop_34, Stop_13, Stop_5, Stop_23, Stop_37, Stop_4, Stop_32, Stop_3, Stop_22, Stop_39",17,Evening Off-Peak,37,28.81,II,90
16,Stop_39,Stop_36,"Stop_39, Stop_28, Stop_8, Stop_21, Stop_37, Stop_39, Stop_36",9,Morning Peak,23,17.78,I,60
16,Stop_39,Stop_36,"Stop_39, Stop_28, Stop_8, Stop_21, Stop_37, Stop_39, Stop_36",9,Morning Peak,56,17.78,II,90
16,Stop_39,Stop_36,"Stop_39, Stop_28, Stop_8, Stop_21, Stop_37, Stop_39, Stop_36",9,Morning Off-Peak,32,17.78,I,60
16,Stop_39,Stop_36,"Stop_39, Stop_28, Stop_8, Stop_21, Stop_37, Stop_39, Stop_36",9,Morning Off-Peak,50,17.78,II,90
16,Stop_39,Stop_36,"Stop_39, Stop_28, Stop_8, Stop_21, Stop_37, Stop_39, Stop_36",9,Evening Peak,24,17.78,I,60
16,Stop_39,Stop_36,"Stop_39, Stop_28, Stop_8, Stop_21, Stop_37, Stop_39, Stop_36",9,Evening Peak,38,17.78,II,90
16,Stop_39,Stop_36,"Stop_39, Stop_28, Stop_8, Stop_21, Stop_37, Stop_39, Stop_36",9,Evening Off-Peak,25,17.78,I,60
16,Stop_39,Stop_36,"Stop_39, Stop_28, Stop_8, Stop_21, Stop_37, Stop_39, Stop_36",9,Evening Off-Peak,55,17.78,II,90
17,Stop_36,Stop_16,"Stop_36, Stop_38, Stop_24, Stop_15, Stop_11, Stop_23, Stop_33, Stop_36, Stop_27, Stop_16",29,Morning Peak,36,24.01,I,60
17,Stop_36,Stop_16,"Stop_36, Stop_38, Stop_24, Stop_15, Stop_11, Stop_23, Stop_33, Stop_36, Stop_27, Stop_16",29,Morning Peak,56,24.01,II,90
17,Stop_36,Stop_16,"Stop_36, Stop_38, Stop_24, Stop_15, Stop_11, Stop_23, Stop_33, Stop_36, Stop_27, Stop_16",29,Morning Off-Peak,34,24.01,I,60
17,Stop_36,Stop_16,"Stop_36, Stop_38, Stop_24, Stop_15, Stop_11, Stop_23, Stop_33, Stop_36, Stop_27, Stop_16",29,Morning Off-Peak,36,24.01,II,90
17,Stop_36,Stop_16,"Stop_36, Stop_38, Stop_24, Stop_15, Stop_11, Stop_23, Stop_33, Stop_36, Stop_27, Stop_16",29,Evening Peak,28,24.01,I,60
17,Stop_36,Stop_16,"Stop_36, Stop_38, Stop_24, Stop_15, Stop_11, Stop_23, Stop_33, Stop_36, Stop_27, Stop_16",29,Evening Peak,46,24.01,II,90
17,Stop_36,Stop_16,"Stop_36, Stop_38, Stop_24, Stop_15, Stop_11, Stop_23, Stop_33, Stop_36, Stop_27, Stop_16",29,Evening Off-Peak,27,24.01,I,60
17,Stop_36,Stop_16,"Stop_36, Stop_38, Stop_24, Stop_15, Stop_11, Stop_23, Stop_33, Stop_36, Stop_27, Stop_16",29,Evening Off-Peak,32,24.01,II,90
18,Stop_16,Stop_25,"Stop_16, Stop_29, Stop_16, Stop_10, Stop_21, Stop_32, Stop_3, Stop_22, Stop_25",16,Morning Peak,22,16.87,I,60
18,Stop_16,Stop_25,"Stop_16, Stop_29, Stop_16, Stop_10, Stop_21, Stop_32, Stop_3, Stop_22, Stop_25",16,Morning Peak,44,16.87,II,90
18,Stop_16,Stop_25,"Stop_16, Stop_29, Stop_16, Stop_10, Stop_21, Stop_32, Stop_3, Stop_22, Stop_25",16,Morning Off-Peak,27,16.87,I,60
18,Stop_16,Stop_25,"Stop_16, Stop_29, Stop_16, Stop_10, Stop_21, Stop_32, Stop_3, Stop_22, Stop_25",16,Morning Off-Peak,36,16.87,II,90
18,Stop_16,Stop_25,"Stop_16, Stop_29, Stop_16, Stop_10, Stop_21, Stop_32, Stop_3, Stop_22, Stop_25",16,Evening Peak,20,16.87,I,60
18,Stop_16,Stop_25,"Stop_16, Stop_29, Stop_16, Stop_10, Stop_21, Stop_32, Stop_3, Stop_22, Stop_25",16,Evening Peak,30,16.87,II,90
18,Stop_16,Stop_25,"Stop_16, Stop_29, Stop_16, Stop_10, Stop_21, Stop_32, Stop_3, Stop_22, Stop_25",16,Evening Off-Peak,27,16.87,I,60
18,Stop_16,Stop_25,"Stop_16, Stop_29, Stop_16, Stop_10, Stop_21, Stop_32, Stop_3, Stop_22, Stop_25",16,Evening Off-Peak,38,16.87,II,90
19,Stop_25,Stop_13,"Stop_25, Stop_23, Stop_34, Stop_14, Stop_9, Stop_13",8,Morning Peak,25,15.26,I,60
19,Stop_25,Stop_13,"Stop_25, Stop_23, Stop_34, Stop_14, Stop_9, Stop_13",8,Morning Peak,32,15.26,II,90
19,Stop_25,Stop_13,"Stop_25, Stop_23, Stop_34, Stop_14, Stop_9, Stop_13",8,Morning Off-Peak,32,15.26,I,60
19,Stop_25,Stop_13,"Stop_25, Stop_23, Stop_34, Stop_14, Stop_9, Stop_13",8,Morning Off-Peak,48,15.26,II,90
19,Stop_25,Stop_13,"Stop_25, Stop_23, Stop_34, Stop_14, Stop_9, Stop_13",8,Evening Peak,21,15.26,I,60
19,Stop_25,Stop_13,"Stop_25, Stop_23, Stop_34, Stop_14, Stop_9, Stop_13",8,Evening Peak,39,15.26,II,90
